,Listing #,host_is_superhost,accommodates,bedrooms,bathrooms_number,beds,num_amenities,number_of_reviews,instant_bookable,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,income,price,log_price
25636,38538837,0,1,1.0,1.0,1.0,12,2,0,0,0,1,0,0,0,1,50985,90.0,4.499809670330265
25637,38539813,0,2,1.0,1.0,1.0,18,11,1,0,1,0,0,0,0,1,31406,43.0,3.7612001156935624
25638,38541050,0,2,1.0,2.5,0.0,14,2,0,0,1,0,0,0,0,1,31406,89.0,4.48863636973214
25639,38542488,0,2,0.0,1.0,1.0,16,1,0,0,0,1,0,1,0,0,50985,65.0,4.174387269895637
25640,38544065,0,2,0.0,1.0,1.0,12,1,0,0,0,1,0,1,0,0,50985,170.0,5.135798437050262
25641,38545696,0,2,1.0,1.0,1.0,16,1,0,0,0,1,0,0,0,1,50985,75.0,4.31748811353631
25642,38546708,0,2,1.0,1.0,1.0,17,1,0,0,0,1,0,1,0,0,50985,95.0,4.553876891600541
25643,38547653,0,2,0.0,1.0,1.0,9,2,0,0,1,0,0,0,0,1,31406,50.0,3.912023005428146
25644,38548283,1,3,1.0,1.0,1.0,23,2,1,0,1,0,0,0,0,1,31406,147.0,4.990432586778736
25645,38549130,1,2,0.0,1.0,1.0,18,0,1,0,0,1,0,1,0,0,50985,150.0,5.0106352940962555
25646,38550605,0,2,1.0,1.0,0.0,21,15,0,0,0,1,0,1,0,0,50985,135.0,4.90527477843843
25647,38551651,0,3,2.0,1.0,2.0,13,1,1,0,1,0,0,1,0,0,31406,80.0,4.382026634673881
25648,38552103,0,1,1.0,1.0,1.0,17,52,1,0,1,0,0,0,0,1,31406,38.0,3.6375861597263857
25649,38553206,0,4,1.0,1.0,2.0,26,47,1,0,0,1,0,1,0,0,50985,138.0,4.927253685157205
25650,38553207,0,10,5.0,2.0,5.0,34,6,1,0,1,0,0,1,0,0,31406,495.0,6.20455776256869
25651,38553463,0,4,2.0,1.0,2.0,18,3,0,0,0,1,0,1,0,0,50985,115.0,4.74493212836325
25652,38554290,1,10,4.0,1.0,6.0,28,33,0,0,0,1,0,1,0,0,50985,700.0,6.551080335043404
25653,38554448,0,2,1.0,1.0,1.0,21,5,0,0,1,0,0,0,0,1,31406,83.0,4.418840607796598
25654,38558695,0,2,1.0,1.0,2.0,35,32,0,0,0,1,0,0,0,1,50985,125.0,4.8283137373023015
25655,38559180,0,2,0.0,1.0,1.0,13,4,1,0,0,1,0,1,0,0,50985,200.0,5.298317366548036
25656,38563645,0,2,1.0,1.0,1.0,21,0,1,0,0,1,0,1,0,0,50985,447.0,6.102558594613569
25657,38569023,0,5,2.0,1.0,3.0,25,3,0,0,0,1,0,1,0,0,50985,175.0,5.1647859739235145
25658,38571450,0,4,1.0,2.0,1.0,21,4,0,0,1,0,0,1,0,0,31406,250.0,5.521460917862246
25659,38572391,0,2,1.0,1.5,2.0,20,0,0,0,0,1,0,1,0,0,50985,150.0,5.0106352940962555
25660,38573108,0,6,2.0,1.0,3.0,16,9,0,0,1,0,0,1,0,0,31406,130.0,4.867534450455582
